id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan
5422,sumatera,sumatera utara,field collection deliserdang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
5423,tidak diketahui,tidak diketahui,field collection pondok gede,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
5424,jawa,dki jakarta,digital marketing,GRATYO® World's Leading Practical Business Coaching,1,0 - 4 tahun,14,Konsultasi (Bisnis & Manajemen),51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",indonesia,jobstreet,"s2, s1"
5425,jawa,jawa barat,leader produksi,PT Multi Usage Indonesia,2,0 - 4 tahun,14,Produk Konsumen/Barang konsumen yang bergerak cepat,51 - 200 pekerja,sabtu,kasual,kaos,umum,indonesia,jobstreet,d3
5426,jawa,dki jakarta,fat staff,PT Draco Internasional,2,0 - 4 tahun,1,Elektrikal & Elektronik,51 - 200 pekerja,senin - jumat,bisnis,kemeja,umum,indonesia,jobstreet,"d3, s1"
5427,jawa,jawa barat,field collection karawang,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",indonesia,jobstreet,"d3, s1, sma"
5428,jawa,jawa barat,hr manager,PT Reeracoen Indonesia (Recruitment Firm),5,5 - 9 tahun,5,Manajemen/Konsulting HR,51 - 200 pekerja,tidak tersedia,tidak spesifik,tidak spesifik,tidak tersedia,tidak dicantumkan,jobstreet,s1
5429,jawa,dki jakarta,desk collection,PT Swadaya Indo Pratama,3,0 - 4 tahun,11,Call Center/IT-Enabled Services/BPO,1- 50 pekerja,sabtu,bisnis,kemeja,tidak tersedia,indonesia,jobstreet,"sma, d3, s1"
5430,tidak diketahui,tidak diketahui,apartment manager,PT. LIPPO KARAWACI TBK,6,5 - 9 tahun,10,Properti/Real Estate,2001 - 5000 pekerja,senin - jumat,bisnis,kemeja,kesehatan,indonesia,jobstreet,"profesi, s1"
5431,jawa,dki jakarta,procurement assisstant manager,PT Abhimata Persada,5,5 - 9 tahun,14,Komputer/Teknik Informatika (Perangkat Lunak),51 - 200 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum","indonesia, inggris",jobstreet,s1
