id_loker,provinsi,pendidikan
542,dki jakarta,S1
543,di yogyakarta,D3
544,sulawesi tengah,S1
545,dki jakarta,TIDAK DICANTUMKAN
546,kalimantan timur,PROFESI
546,kalimantan timur,D3
546,kalimantan timur,S1
547,jawa barat,S1
548,dki jakarta,TIDAK DICANTUMKAN
549,dki jakarta,D3
550,tidak diketahui,PROFESI
551,banten,TIDAK DICANTUMKAN
552,dki jakarta,TIDAK DICANTUMKAN
553,banten,S1
554,sumatera selatan,D3
554,sumatera selatan,S1
555,tidak diketahui,D3
556,dki jakarta,TIDAK DICANTUMKAN
557,sumatera utara,S1
558,jawa timur,D3
558,jawa timur,S2
559,jawa barat,S1
560,jawa tengah,TIDAK DICANTUMKAN
561,dki jakarta,TIDAK DICANTUMKAN
562,sumatera utara,S1
563,banten,TIDAK DICANTUMKAN
564,dki jakarta,TIDAK DICANTUMKAN
565,tidak diketahui,D3
566,jawa barat,SMP
566,jawa barat,S1
567,banten,D3
567,banten,S1
568,tidak diketahui,D3
569,kepulauan bangka belitung,D3
569,kepulauan bangka belitung,S1
570,dki jakarta,TIDAK DICANTUMKAN
571,banten,S1
572,banten,S1
573,dki jakarta,TIDAK DICANTUMKAN
574,sumatera utara,D3
575,kalimantan timur,D3
575,kalimantan timur,S1
576,dki jakarta,S1
577,jawa timur,S1
578,dki jakarta,S1
579,banten,S1
580,jawa timur,S1
581,dki jakarta,S1
582,jawa barat,PROFESI
582,jawa barat,S1
583,dki jakarta,S1
584,tidak diketahui,D3
584,tidak diketahui,S1
585,dki jakarta,S1
586,dki jakarta,D3
586,dki jakarta,S1
586,dki jakarta,S2
587,jawa barat,D3
587,jawa barat,S1
588,dki jakarta,SMA
589,banten,S1
590,kepulauan riau,S1
591,dki jakarta,S1
592,sumatera selatan,S1
593,jawa timur,S1
594,dki jakarta,TIDAK DICANTUMKAN
595,dki jakarta,TIDAK DICANTUMKAN
596,sumatera selatan,TIDAK DICANTUMKAN
597,dki jakarta,SMA
597,dki jakarta,D3
597,dki jakarta,S1
598,dki jakarta,S1
599,dki jakarta,PROFESI
600,dki jakarta,TIDAK DICANTUMKAN
601,dki jakarta,S1
602,jawa tengah,D3
603,jawa timur,D3
603,jawa timur,S1
604,banten,S1
605,bali,S1
606,dki jakarta,D3
606,dki jakarta,S1
607,dki jakarta,PROFESI
607,dki jakarta,D3
608,jawa barat,S1
609,jawa timur,D3
609,jawa timur,S1
610,dki jakarta,TIDAK DICANTUMKAN
611,dki jakarta,S1
612,banten,TIDAK DICANTUMKAN
613,sumatera selatan,S1
614,dki jakarta,S1
614,dki jakarta,PROFESI
615,jambi,S1
616,sulawesi utara,S1
617,jawa barat,D3
618,jawa barat,S1
619,dki jakarta,S2
620,dki jakarta,S1
621,tidak diketahui,TIDAK DICANTUMKAN
622,dki jakarta,PROFESI
623,jawa barat,D3
624,jawa barat,S1
625,dki jakarta,S1
626,dki jakarta,D3
627,jawa barat,TIDAK DICANTUMKAN
628,sumatera utara,D3
628,sumatera utara,S1
629,banten,TIDAK DICANTUMKAN
630,kalimantan tengah,D3
630,kalimantan tengah,S1
631,dki jakarta,S1
632,dki jakarta,S1
633,jawa timur,D3
634,dki jakarta,S1
635,kalimantan timur,S1
636,banten,S1
637,bali,S1
638,jawa tengah,TIDAK DICANTUMKAN
639,banten,D3
639,banten,S1
640,dki jakarta,S1
641,banten,S1
642,di yogyakarta,TIDAK DICANTUMKAN
643,dki jakarta,S1
644,dki jakarta,D3
644,dki jakarta,S1
645,tidak diketahui,D3
646,dki jakarta,S1
647,dki jakarta,S1
648,dki jakarta,S1
649,jawa timur,S1
650,dki jakarta,S1
651,dki jakarta,TIDAK DICANTUMKAN
652,dki jakarta,S1
652,dki jakarta,PROFESI
653,bali,S1
654,jawa timur,S1
655,dki jakarta,TIDAK DICANTUMKAN
656,banten,S1
657,dki jakarta,TIDAK DICANTUMKAN
658,jawa barat,D3
658,jawa barat,S1
659,banten,TIDAK DICANTUMKAN
660,jambi,D3
661,dki jakarta,S1
661,dki jakarta,S2
661,dki jakarta,S3
662,di yogyakarta,S1
663,dki jakarta,S1
664,di yogyakarta,S1
665,dki jakarta,TIDAK DICANTUMKAN
666,dki jakarta,SMA
666,dki jakarta,D3
667,jawa barat,S1
667,jawa barat,S2
667,jawa barat,S3
668,tidak diketahui,TIDAK DICANTUMKAN
669,jawa timur,S1
669,jawa timur,S2
670,dki jakarta,TIDAK DICANTUMKAN
671,dki jakarta,S2
671,dki jakarta,S1
672,tidak diketahui,TIDAK DICANTUMKAN
673,kalimantan selatan,D3
674,jawa barat,TIDAK DICANTUMKAN
675,kepulauan bangka belitung,TIDAK DICANTUMKAN
676,dki jakarta,TIDAK DICANTUMKAN
677,kepulauan riau,TIDAK DICANTUMKAN
678,tidak diketahui,TIDAK DICANTUMKAN
679,kalimantan selatan,S1
680,sulawesi selatan,D3
681,dki jakarta,TIDAK DICANTUMKAN
682,jawa barat,D3
683,tidak diketahui,TIDAK DICANTUMKAN
684,jawa barat,TIDAK DICANTUMKAN
685,dki jakarta,D3
685,dki jakarta,S1
685,dki jakarta,S2
686,tidak diketahui,TIDAK DICANTUMKAN
687,dki jakarta,TIDAK DICANTUMKAN
688,banten,D3
689,tidak diketahui,TIDAK DICANTUMKAN
690,dki jakarta,S1
691,dki jakarta,D3
692,banten,TIDAK DICANTUMKAN
693,banten,TIDAK DICANTUMKAN
694,jawa tengah,D3
694,jawa tengah,S1
695,dki jakarta,D3
695,dki jakarta,S1
696,dki jakarta,D3
696,dki jakarta,S1
697,dki jakarta,TIDAK DICANTUMKAN
698,dki jakarta,S1
698,dki jakarta,D3
698,dki jakarta,PROFESI
698,dki jakarta,S2
698,dki jakarta,S3
699,riau,D3
700,tidak diketahui,TIDAK DICANTUMKAN
701,dki jakarta,S1
702,dki jakarta,D3
702,dki jakarta,S1
